company,type_name,os,gpu_company,cpu_model,screen_type,touchscreen,ips_panel,ppi,ssd,hdd,flash_storage,hybrid,ram,weight,cpu_freq,price
Dell,Ultrabook,Windows,AMD,Intel Core i7,Full HD,0,1,165.6321180513006,256,0,0,0,8,1.4,1.8,10.83728415853995
Dell,Notebook,Windows,AMD,Intel Core i7,Full HD,0,0,141.21199808219862,256,0,0,0,8,2.2,1.8,10.744084440041084
MSI,Gaming,Windows,Nvidia,Intel Core i5,Full HD,0,0,127.33567457123111,128,1024,0,0,8,2.7,2.5,10.97409466479416
Acer,Notebook,Windows,Intel,Intel Core i3,Standard,0,0,111.93520355955211,0,1024,0,0,8,2.1,2.0,9.939192477156904
Asus,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,0,1024,0,0,8,2.2,2.8,10.830995139615448
Lenovo,Notebook,Other/Linux/No,Intel,Intel Core i5,Full HD,0,0,141.21199808219862,0,2048,0,0,8,2.2,2.5,10.22748950016072
Dell,Notebook,Windows,Intel,Intel Core i7,Full HD,0,0,141.21199808219862,128,1024,0,0,8,2.02,1.8,10.726675666147958
Acer,Notebook,Windows,Nvidia,Intel Core i3,Full HD,0,0,141.21199808219862,0,1024,0,0,4,2.2,2.7,10.24845928021533
HP,Notebook,Windows,Nvidia,Intel Core i5,Full HD,0,0,127.33567457123111,128,1024,0,0,8,2.5,1.6,10.86007534117482
Dell,Ultrabook,Windows,Intel,Intel Core i5,Full HD,0,1,141.21199808219862,256,0,0,0,8,1.88,1.6,10.975139659621455
Apple,Ultrabook,Mac,Intel,Intel Core i5,Standard,0,1,202.37276851499232,512,0,0,0,8,0.92,1.3,11.295440871507697
HP,Notebook,Windows,Intel,Intel Core i5,Full HD,0,0,157.3505121487356,256,0,0,0,8,1.63,1.6,10.732519604116439
Lenovo,Notebook,Windows,AMD,AMD,Full HD,0,0,141.21199808219862,128,0,0,0,4,2.2,2.5,9.964582651895938
Acer,Notebook,Windows,AMD,AMD,Standard,0,0,100.45466986113651,0,1024,0,0,4,2.1,3.0,9.954513311139172
Dell,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,128,1024,0,0,16,2.65,2.8,11.182697691046345
HP,Ultrabook,Windows,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,256,0,0,0,8,1.83,1.8,10.52524613700842
HP,Notebook,Windows,Intel,Intel Core i5,Full HD,0,0,141.21199808219862,256,0,0,0,8,1.96,2.5,10.370831397690157
Asus,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,128,1024,0,0,16,2.2,2.8,11.254206548142099
Dell,Ultrabook,Windows,Intel,Intel Core i7,Full HD,0,1,165.6321180513006,256,0,0,0,8,1.21,1.8,11.38349991752977
Asus,Gaming,Windows,AMD,AMD,Full HD,0,0,141.21199808219862,0,1024,0,0,8,2.45,3.0,10.52524613700842
Acer,Notebook,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,0,1024,0,0,8,2.2,1.8,10.510831716653778
HP,Notebook,Windows,Intel,Intel Core i7,Full HD,0,0,165.6321180513006,512,0,0,0,16,1.49,1.8,11.063147902769172
Dell,Gaming,Windows,Nvidia,Intel Core i5,Full HD,0,0,141.21199808219862,256,0,0,0,8,2.65,2.5,11.061484478871714
Asus,Ultrabook,Windows,Intel,Intel Core i7,Full HD,0,0,157.3505121487356,256,0,0,0,8,1.25,2.7,10.931176536200338
Acer,2 in 1 Convertible,Windows,Intel,Intel Core i5,Full HD,1,1,165.6321180513006,256,0,0,0,8,1.5,1.6,10.717280334365933
Dell,Notebook,Other/Linux/No,AMD,Intel Core i7,Full HD,0,0,141.21199808219862,0,1024,0,0,8,2.2,2.7,10.372365548494354
Dell,Notebook,Other/Linux/No,AMD,Intel Core i3,Full HD,0,0,141.21199808219862,256,0,0,0,4,2.2,2.0,10.159756354282166
Asus,Notebook,Windows,Nvidia,Intel Core i3,Full HD,0,0,141.21199808219862,256,0,0,0,6,2.0,2.4,10.33345013224468
HP,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,128,1024,0,0,12,2.62,2.8,11.105678770779633
